2026-05-02 18:43:22 | src.backend.main     | INFO     | [API] Predicción solicitada para bitcoin
2026-05-02 18:43:22 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 18:43:23 | src.backend.utils    | WARNING  | [UTILS] Sin datos para bitcoin
2026-05-02 18:43:23 | src.backend.utils    | WARNING  | [UTILS] No hay datos para bitcoin
2026-05-02 18:43:23 | src.backend.main     | INFO     | [API] Predicción completada para bitcoin
2026-05-02 18:43:27 | src.backend.main     | INFO     | [API] Predicción solicitada para ethereum
2026-05-02 18:43:27 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 18:43:27 | src.backend.utils    | WARNING  | [UTILS] Sin datos para ethereum
2026-05-02 18:43:27 | src.backend.utils    | WARNING  | [UTILS] No hay datos para ethereum
2026-05-02 18:43:27 | src.backend.main     | INFO     | [API] Predicción completada para ethereum
2026-05-02 18:43:35 | src.backend.main     | INFO     | [API] Predicción solicitada para ripple
2026-05-02 18:43:35 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 18:43:35 | src.backend.utils    | WARNING  | [UTILS] Sin datos para ripple
2026-05-02 18:43:35 | src.backend.utils    | WARNING  | [UTILS] No hay datos para ripple
2026-05-02 18:43:35 | src.backend.main     | INFO     | [API] Predicción completada para ripple
2026-05-02 18:43:38 | src.backend.main     | INFO     | [API] Predicción solicitada para solana
2026-05-02 18:43:38 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 18:43:38 | src.backend.utils    | WARNING  | [UTILS] Sin datos para solana
2026-05-02 18:43:38 | src.backend.utils    | WARNING  | [UTILS] No hay datos para solana
2026-05-02 18:43:38 | src.backend.main     | INFO     | [API] Predicción completada para solana
2026-05-02 18:43:42 | src.backend.main     | INFO     | [API] Predicción solicitada para bitcoin
2026-05-02 18:43:42 | src.backend.utils    | INFO     | [UTILS] Cargando modelo desde C:\Users\Usuario\Desktop\tfm-ia\data\models\model.pkl
2026-05-02 18:43:42 | src.backend.utils    | WARNING  | [UTILS] Sin datos para bitcoin
2026-05-02 18:43:42 | src.backend.utils    | WARNING  | [UTILS] No hay datos para bitcoin
2026-05-02 18:43:42 | src.backend.main     | INFO     | [API] Predicción completada para bitcoin
