2026-05-02 18:59:05 | __main__             | INFO     | [FEATURES] Construyendo dataset con features...
2026-05-02 18:59:11 | __main__             | INFO     | [FEATURES] SparkSession iniciada — versión 4.1.1
2026-05-02 18:59:11 | __main__             | INFO     | [FEATURES] Leyendo: C:\Users\Usuario\Desktop\tfm-ia\data\processed\data_lake\all_cryptos.parquet
2026-05-02 18:59:14 | __main__             | INFO     | [FEATURES] Filas cargadas: 43765
2026-05-02 18:59:14 | __main__             | INFO     | [FEATURES] Schema de entrada:
2026-05-02 18:59:14 | __main__             | INFO     | [FEATURES] Eliminando columnas irrelevantes...
2026-05-02 18:59:14 | __main__             | INFO     | [FEATURES] Calculando variaciones porcentuales...
2026-05-02 18:59:14 | __main__             | INFO     | [FEATURES] Calculando volatilidad 30d...
2026-05-02 18:59:14 | __main__             | INFO     | [FEATURES] Calculando RSI 14...
2026-05-02 18:59:14 | __main__             | INFO     | [FEATURES] Calculando volumen acumulado 24h...
2026-05-02 18:59:14 | __main__             | INFO     | [FEATURES] Extrayendo features temporales...
2026-05-02 18:59:14 | __main__             | INFO     | [FEATURES] Codificando columna 'crypto'...
2026-05-02 18:59:15 | __main__             | INFO     | [FEATURES] Schema final:
2026-05-02 18:59:18 | __main__             | INFO     | [FEATURES] Guardando en: C:\Users\Usuario\Desktop\tfm-ia\data\ml\features\all_cryptos_ml.parquet
2026-05-02 18:59:21 | __main__             | INFO     | [FEATURES] Ruta: C:\Users\Usuario\Desktop\tfm-ia\data\ml\features\all_cryptos_ml.parquet
2026-05-02 18:59:21 | __main__             | INFO     | [FEATURES] SparkSession cerrada
